"Google API", "Google Scope"
"AI Platform Training & Prediction API, v1", https://www.googleapis.com/auth/cloud-platform
"AI Platform Training & Prediction API, v1", https://www.googleapis.com/auth/cloud-platform.read-only
"Access Approval API, v1", https://www.googleapis.com/auth/cloud-platform
"Access Context Manager API, v1", https://www.googleapis.com/auth/cloud-platform
"Ad Exchange Buyer API, v1.4", https://www.googleapis.com/auth/adexchange.buyer
"Ad Exchange Buyer API II, v2beta1", https://www.googleapis.com/auth/adexchange.buyer
"AdMob API, v1", https://www.googleapis.com/auth/admob.readonly
"AdMob API, v1", https://www.googleapis.com/auth/admob.report
"AdSense Host API, v4.1", https://www.googleapis.com/auth/adsensehost
"AdSense Management API, v1.4", https://www.googleapis.com/auth/adsense
"AdSense Management API, v1.4", https://www.googleapis.com/auth/adsense.readonly
"Admin Data Transfer API, v1", https://www.googleapis.com/auth/admin.datatransfer
"Admin Data Transfer API, v1", https://www.googleapis.com/auth/admin.datatransfer.readonly
"Admin Directory API, v1", https://www.googleapis.com/auth/admin.directory.customer
"Admin Directory API, v1", https://www.googleapis.com/auth/admin.directory.customer.readonly
"Admin Directory API, v1", https://www.googleapis.com/auth/admin.directory.device.chromeos
"Admin Directory API, v1", https://www.googleapis.com/auth/admin.directory.device.chromeos.readonly
"Admin Directory API, v1", https://www.googleapis.com/auth/admin.directory.device.mobile
"Admin Directory API, v1", https://www.googleapis.com/auth/admin.directory.device.mobile.action
"Admin Directory API, v1", https://www.googleapis.com/auth/admin.directory.device.mobile.readonly
"Admin Directory API, v1", https://www.googleapis.com/auth/admin.directory.domain
"Admin Directory API, v1", https://www.googleapis.com/auth/admin.directory.domain.readonly
"Admin Directory API, v1", https://www.googleapis.com/auth/admin.directory.group
"Admin Directory API, v1", https://www.googleapis.com/auth/admin.directory.group.member
"Admin Directory API, v1", https://www.googleapis.com/auth/admin.directory.group.member.readonly
"Admin Directory API, v1", https://www.googleapis.com/auth/admin.directory.group.readonly
"Admin Directory API, v1", https://www.googleapis.com/auth/admin.directory.orgunit
"Admin Directory API, v1", https://www.googleapis.com/auth/admin.directory.orgunit.readonly
"Admin Directory API, v1", https://www.googleapis.com/auth/admin.directory.resource.calendar
"Admin Directory API, v1", https://www.googleapis.com/auth/admin.directory.resource.calendar.readonly
"Admin Directory API, v1", https://www.googleapis.com/auth/admin.directory.rolemanagement
"Admin Directory API, v1", https://www.googleapis.com/auth/admin.directory.rolemanagement.readonly
"Admin Directory API, v1", https://www.googleapis.com/auth/admin.directory.user
"Admin Directory API, v1", https://www.googleapis.com/auth/admin.directory.user.alias
"Admin Directory API, v1", https://www.googleapis.com/auth/admin.directory.user.alias.readonly
"Admin Directory API, v1", https://www.googleapis.com/auth/admin.directory.user.readonly
"Admin Directory API, v1", https://www.googleapis.com/auth/admin.directory.user.security
"Admin Directory API, v1", https://www.googleapis.com/auth/admin.directory.userschema
"Admin Directory API, v1", https://www.googleapis.com/auth/admin.directory.userschema.readonly
"Admin Directory API, v1", https://www.googleapis.com/auth/cloud-platform
"Admin Reports API, v1", https://www.googleapis.com/auth/admin.reports.audit.readonly
"Admin Reports API, v1", https://www.googleapis.com/auth/admin.reports.usage.readonly
"Analytics Reporting API, v4", https://www.googleapis.com/auth/analytics
"Analytics Reporting API, v4", https://www.googleapis.com/auth/analytics.readonly
"Android Management API, v1", https://www.googleapis.com/auth/androidmanagement
"Apigee API, v1", https://www.googleapis.com/auth/cloud-platform
"App Engine Admin API, v1", https://www.googleapis.com/auth/appengine.admin
"App Engine Admin API, v1", https://www.googleapis.com/auth/cloud-platform
"App Engine Admin API, v1", https://www.googleapis.com/auth/cloud-platform.read-only
"Apps Script API, v1", https://mail.google.com/
"Apps Script API, v1", https://www.google.com/calendar/feeds
"Apps Script API, v1", https://www.google.com/m8/feeds
"Apps Script API, v1", https://www.googleapis.com/auth/admin.directory.group
"Apps Script API, v1", https://www.googleapis.com/auth/admin.directory.user
"Apps Script API, v1", https://www.googleapis.com/auth/documents
"Apps Script API, v1", https://www.googleapis.com/auth/drive
"Apps Script API, v1", https://www.googleapis.com/auth/forms
"Apps Script API, v1", https://www.googleapis.com/auth/forms.currentonly
"Apps Script API, v1", https://www.googleapis.com/auth/groups
"Apps Script API, v1", https://www.googleapis.com/auth/script.deployments
"Apps Script API, v1", https://www.googleapis.com/auth/script.deployments.readonly
"Apps Script API, v1", https://www.googleapis.com/auth/script.metrics
"Apps Script API, v1", https://www.googleapis.com/auth/script.processes
"Apps Script API, v1", https://www.googleapis.com/auth/script.projects
"Apps Script API, v1", https://www.googleapis.com/auth/script.projects.readonly
"Apps Script API, v1", https://www.googleapis.com/auth/spreadsheets
"Apps Script API, v1", https://www.googleapis.com/auth/userinfo.email
"BigQuery API, v2", https://www.googleapis.com/auth/bigquery
"BigQuery API, v2", https://www.googleapis.com/auth/bigquery.insertdata
"BigQuery API, v2", https://www.googleapis.com/auth/bigquery.readonly
"BigQuery API, v2", https://www.googleapis.com/auth/cloud-platform
"BigQuery API, v2", https://www.googleapis.com/auth/cloud-platform.read-only
"BigQuery API, v2", https://www.googleapis.com/auth/devstorage.full_control
"BigQuery API, v2", https://www.googleapis.com/auth/devstorage.read_only
"BigQuery API, v2", https://www.googleapis.com/auth/devstorage.read_write
"BigQuery Connection API, v1beta1", https://www.googleapis.com/auth/bigquery
"BigQuery Connection API, v1beta1", https://www.googleapis.com/auth/cloud-platform
"BigQuery Data Transfer API, v1", https://www.googleapis.com/auth/bigquery
"BigQuery Data Transfer API, v1", https://www.googleapis.com/auth/bigquery.readonly
"BigQuery Data Transfer API, v1", https://www.googleapis.com/auth/cloud-platform
"BigQuery Data Transfer API, v1", https://www.googleapis.com/auth/cloud-platform.read-only
"BigQuery Reservation API, v1", https://www.googleapis.com/auth/bigquery
"BigQuery Reservation API, v1", https://www.googleapis.com/auth/cloud-platform
"Binary Authorization API, v1", https://www.googleapis.com/auth/cloud-platform
"Blogger API, v3", https://www.googleapis.com/auth/blogger
"Blogger API, v3", https://www.googleapis.com/auth/blogger.readonly
"Books API, v1", https://www.googleapis.com/auth/books
"Calendar API, v3", https://www.googleapis.com/auth/calendar
"Calendar API, v3", https://www.googleapis.com/auth/calendar.events
"Calendar API, v3", https://www.googleapis.com/auth/calendar.events.readonly
"Calendar API, v3", https://www.googleapis.com/auth/calendar.readonly
"Calendar API, v3", https://www.googleapis.com/auth/calendar.settings.readonly
"Campaign Manager 360 API, v3.4", https://www.googleapis.com/auth/ddmconversions
"Campaign Manager 360 API, v3.4", https://www.googleapis.com/auth/dfareporting
"Campaign Manager 360 API, v3.4", https://www.googleapis.com/auth/dfatrafficking
"Chrome Verified Access API, v1", https://www.googleapis.com/auth/verifiedaccess
"Cloud Asset API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud Bigtable Admin API, v2", https://www.googleapis.com/auth/bigtable.admin
"Cloud Bigtable Admin API, v2", https://www.googleapis.com/auth/bigtable.admin.cluster
"Cloud Bigtable Admin API, v2", https://www.googleapis.com/auth/bigtable.admin.instance
"Cloud Bigtable Admin API, v2", https://www.googleapis.com/auth/bigtable.admin.table
"Cloud Bigtable Admin API, v2", https://www.googleapis.com/auth/cloud-bigtable.admin
"Cloud Bigtable Admin API, v2", https://www.googleapis.com/auth/cloud-bigtable.admin.cluster
"Cloud Bigtable Admin API, v2", https://www.googleapis.com/auth/cloud-bigtable.admin.table
"Cloud Bigtable Admin API, v2", https://www.googleapis.com/auth/cloud-platform
"Cloud Bigtable Admin API, v2", https://www.googleapis.com/auth/cloud-platform.read-only
"Cloud Billing API, v1", https://www.googleapis.com/auth/cloud-billing
"Cloud Billing API, v1", https://www.googleapis.com/auth/cloud-billing.readonly
"Cloud Billing API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud Build API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud Composer API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud DNS API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud DNS API, v1", https://www.googleapis.com/auth/cloud-platform.read-only
"Cloud DNS API, v1", https://www.googleapis.com/auth/ndev.clouddns.readonly
"Cloud DNS API, v1", https://www.googleapis.com/auth/ndev.clouddns.readwrite
"Cloud Data Loss Prevention (DLP) API, v2", https://www.googleapis.com/auth/cloud-platform
"Cloud Dataproc API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud Datastore API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud Datastore API, v1", https://www.googleapis.com/auth/datastore
"Cloud Debugger API, v2", https://www.googleapis.com/auth/cloud-platform
"Cloud Debugger API, v2", https://www.googleapis.com/auth/cloud_debugger
"Cloud Deployment Manager V2 API, v2", https://www.googleapis.com/auth/cloud-platform
"Cloud Deployment Manager V2 API, v2", https://www.googleapis.com/auth/cloud-platform.read-only
"Cloud Deployment Manager V2 API, v2", https://www.googleapis.com/auth/ndev.cloudman
"Cloud Deployment Manager V2 API, v2", https://www.googleapis.com/auth/ndev.cloudman.readonly
"Cloud Filestore API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud Firestore API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud Firestore API, v1", https://www.googleapis.com/auth/datastore
"Cloud Functions API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud Healthcare API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud Identity API, v1", https://www.googleapis.com/auth/cloud-identity.devices.lookup
"Cloud Identity API, v1", https://www.googleapis.com/auth/cloud-identity.groups
"Cloud Identity API, v1", https://www.googleapis.com/auth/cloud-identity.groups.readonly
"Cloud Identity API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud Identity-Aware Proxy API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud IoT API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud IoT API, v1", https://www.googleapis.com/auth/cloudiot
"Cloud Key Management Service (KMS) API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud Key Management Service (KMS) API, v1", https://www.googleapis.com/auth/cloudkms
"Cloud Life Sciences API, v2beta", https://www.googleapis.com/auth/cloud-platform
"Cloud Logging API, v2", https://www.googleapis.com/auth/cloud-platform
"Cloud Logging API, v2", https://www.googleapis.com/auth/cloud-platform.read-only
"Cloud Logging API, v2", https://www.googleapis.com/auth/logging.admin
"Cloud Logging API, v2", https://www.googleapis.com/auth/logging.read
"Cloud Logging API, v2", https://www.googleapis.com/auth/logging.write
"Cloud Memorystore for Memcached API, v1beta2", https://www.googleapis.com/auth/cloud-platform
"Cloud Monitoring API, v3", https://www.googleapis.com/auth/cloud-platform
"Cloud Monitoring API, v3", https://www.googleapis.com/auth/monitoring
"Cloud Monitoring API, v3", https://www.googleapis.com/auth/monitoring.read
"Cloud Monitoring API, v3", https://www.googleapis.com/auth/monitoring.write
"Cloud Natural Language API, v1", https://www.googleapis.com/auth/cloud-language
"Cloud Natural Language API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud OS Login API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud OS Login API, v1", https://www.googleapis.com/auth/compute
"Cloud Pub/Sub API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud Pub/Sub API, v1", https://www.googleapis.com/auth/pubsub
"Cloud Resource Manager API, v2", https://www.googleapis.com/auth/cloud-platform
"Cloud Resource Manager API, v2", https://www.googleapis.com/auth/cloud-platform.read-only
"Cloud Run Admin API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud Runtime Configuration API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud Runtime Configuration API, v1", https://www.googleapis.com/auth/cloudruntimeconfig
"Cloud SQL Admin API, v1beta4", https://www.googleapis.com/auth/cloud-platform
"Cloud SQL Admin API, v1beta4", https://www.googleapis.com/auth/sqlservice.admin
"Cloud Scheduler API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud Search API, v1", https://www.googleapis.com/auth/cloud_search
"Cloud Search API, v1", https://www.googleapis.com/auth/cloud_search.debug
"Cloud Search API, v1", https://www.googleapis.com/auth/cloud_search.indexing
"Cloud Search API, v1", https://www.googleapis.com/auth/cloud_search.query
"Cloud Search API, v1", https://www.googleapis.com/auth/cloud_search.settings
"Cloud Search API, v1", https://www.googleapis.com/auth/cloud_search.settings.indexing
"Cloud Search API, v1", https://www.googleapis.com/auth/cloud_search.settings.query
"Cloud Search API, v1", https://www.googleapis.com/auth/cloud_search.stats
"Cloud Search API, v1", https://www.googleapis.com/auth/cloud_search.stats.indexing
"Cloud Shell API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud Source Repositories API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud Source Repositories API, v1", https://www.googleapis.com/auth/source.full_control
"Cloud Source Repositories API, v1", https://www.googleapis.com/auth/source.read_only
"Cloud Source Repositories API, v1", https://www.googleapis.com/auth/source.read_write
"Cloud Spanner API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud Spanner API, v1", https://www.googleapis.com/auth/spanner.admin
"Cloud Spanner API, v1", https://www.googleapis.com/auth/spanner.data
"Cloud Speech-to-Text API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud Storage JSON API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud Storage JSON API, v1", https://www.googleapis.com/auth/cloud-platform.read-only
"Cloud Storage JSON API, v1", https://www.googleapis.com/auth/devstorage.full_control
"Cloud Storage JSON API, v1", https://www.googleapis.com/auth/devstorage.read_only
"Cloud Storage JSON API, v1", https://www.googleapis.com/auth/devstorage.read_write
"Cloud TPU API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud Tasks API, v2", https://www.googleapis.com/auth/cloud-platform
"Cloud Testing API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud Testing API, v1", https://www.googleapis.com/auth/cloud-platform.read-only
"Cloud Text-to-Speech API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud Tool Results API, v1beta3", https://www.googleapis.com/auth/cloud-platform
"Cloud Trace API, v2", https://www.googleapis.com/auth/cloud-platform
"Cloud Trace API, v2", https://www.googleapis.com/auth/trace.append
"Cloud Translation API, v3", https://www.googleapis.com/auth/cloud-platform
"Cloud Translation API, v3", https://www.googleapis.com/auth/cloud-translation
"Cloud Video Intelligence API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud Vision API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud Vision API, v1", https://www.googleapis.com/auth/cloud-vision
"Compute Engine API, v1", https://www.googleapis.com/auth/cloud-platform
"Compute Engine API, v1", https://www.googleapis.com/auth/compute
"Compute Engine API, v1", https://www.googleapis.com/auth/compute.readonly
"Compute Engine API, v1", https://www.googleapis.com/auth/devstorage.full_control
"Compute Engine API, v1", https://www.googleapis.com/auth/devstorage.read_only
"Compute Engine API, v1", https://www.googleapis.com/auth/devstorage.read_write
"Container Analysis API, v1beta1", https://www.googleapis.com/auth/cloud-platform
"Content API for Shopping, v2.1", https://www.googleapis.com/auth/content
"Dataflow API, v1b3", https://www.googleapis.com/auth/cloud-platform
"Dataflow API, v1b3", https://www.googleapis.com/auth/compute
"Dataflow API, v1b3", https://www.googleapis.com/auth/compute.readonly
"Dataflow API, v1b3", https://www.googleapis.com/auth/userinfo.email
